Clave Municipio,"Clave 
Estado",Región,Estado,Municipio,Tipo de población,saving_deposits,sight_deposits,term_deposits,debit_deposits
1001,1,Occidente y Bajío,Aguascalientes,Aguascalientes,Semi-metrópoli,"52,108","91,136","10,440","1,171"
1002,1,Occidente y Bajío,Aguascalientes,Asientos,Urbano,"1,630","1,067",75,0
1003,1,Occidente y Bajío,Aguascalientes,Calvillo,Urbano,"6,613","2,974",914,47
1004,1,Occidente y Bajío,Aguascalientes,Cosío,Semi-urbano,"1,286",724,43,0
1005,1,Occidente y Bajío,Aguascalientes,Jesús María,Urbano,"8,098","8,160","1,169",65
1006,1,Occidente y Bajío,Aguascalientes,Pabellón de Arteaga,Semi-urbano,"3,594","1,417",234,0
1007,1,Occidente y Bajío,Aguascalientes,Rincón de Romos,Urbano,"2,311","1,540",129,0
1008,1,Occidente y Bajío,Aguascalientes,San José de Gracia,En Transición,412,225,17,0
1009,1,Occidente y Bajío,Aguascalientes,Tepezalá,Semi-urbano,"1,480",412,16,0
1010,1,Occidente y Bajío,Aguascalientes,"Llano, El",Semi-urbano,481,940,44,0
1011,1,Occidente y Bajío,Aguascalientes,San Francisco de los Romo,Urbano,"4,306","3,141",498,7
2001,2,Noroeste,Baja California,Ensenada,Semi-metrópoli,"1,257","5,489",958,1
2002,2,Noroeste,Baja California,Mexicali,Metrópoli,"1,391","12,563","2,405",0
2003,2,Noroeste,Baja California,Tecate,Urbano,952,129,552,1
2004,2,Noroeste,Baja California,Tijuana,Metrópoli,"3,406","22,848","5,195",0
2005,2,Noroeste,Baja California,Playas de Rosarito,Urbano,59,"2,713",108,4
3001,3,Noroeste,Baja California Sur,Comondú,Urbano,30,"1,162",47,27
3002,3,Noroeste,Baja California Sur,Mulegé,Urbano,17,819,48,22
3003,3,Noroeste,Baja California Sur,"Paz, La",Urbano,221,"2,941",618,153
3008,3,Noroeste,Baja California Sur,"Cabos, Los",Semi-metrópoli,255,"6,404",361,67
3009,3,Noroeste,Baja California Sur,Loreto,Semi-urbano,13,37,4,3
4001,4,Sur,Campeche,Calkiní,Urbano,"4,874","3,571",482,1
4002,4,Sur,Campeche,Campeche,Urbano,"5,180","20,584","1,703",270
4003,4,Sur,Campeche,Carmen,Urbano,"1,380","13,322","2,054",156
4004,4,Sur,Campeche,Champotón,Urbano,"4,470","5,751",693,1
4005,4,Sur,Campeche,Hecelchakán,Semi-urbano,"2,335","1,277",249,0
4006,4,Sur,Campeche,Hopelchén,Semi-urbano,"1,821","2,375",316,0
4007,4,Sur,Campeche,Palizada,En Transición,23,143,0,59
4008,4,Sur,Campeche,Tenabo,En Transición,121,365,40,0
4009,4,Sur,Campeche,Escárcega,Urbano,"2,968","3,100",286,2
4010,4,Sur,Campeche,Calakmul,Semi-urbano,"1,640",169,17,0
4011,4,Sur,Campeche,Candelaria,Semi-urbano,122,847,94,0
5001,5,Noreste,Coahuila,Abasolo,Rural,3,15,3,0
5002,5,Noreste,Coahuila,Acuña,Urbano,106,159,108,42
5003,5,Noreste,Coahuila,Allende,Semi-urbano,"5,143","2,024",233,18
5004,5,Noreste,Coahuila,Arteaga,Semi-urbano,730,323,51,6
5005,5,Noreste,Coahuila,Candela,Rural,13,3,1,0
5006,5,Noreste,Coahuila,Castaños,Semi-urbano,121,705,47,4
5007,5,Noreste,Coahuila,Cuatro Ciénegas,En Transición,56,169,28,1
5008,5,Noreste,Coahuila,Escobedo,Rural,11,12,1,0
5009,5,Noreste,Coahuila,Francisco I. Madero,Urbano,767,"2,059",133,2
5010,5,Noreste,Coahuila,Frontera,Urbano,878,"1,562",279,378
5011,5,Noreste,Coahuila,General Cepeda,En Transición,81,42,20,1
5012,5,Noreste,Coahuila,Guerrero,Rural,43,17,0,0
5013,5,Noreste,Coahuila,Hidalgo,Rural,5,2,1,0
5014,5,Noreste,Coahuila,Jiménez,En Transición,7,21,0,0
5015,5,Noreste,Coahuila,Juárez,Rural,10,9,4,0
5016,5,Noreste,Coahuila,Lamadrid,Rural,28,0,0,0
5017,5,Noreste,Coahuila,Matamoros,Urbano,"1,765","3,529",292,"1,161"
5018,5,Noreste,Coahuila,Monclova,Urbano,"2,889","3,712",601,"2,094"
5019,5,Noreste,Coahuila,Morelos,En Transición,"4,399","1,656",126,0
5020,5,Noreste,Coahuila,Múzquiz,Urbano,"2,121",466,129,20
5021,5,Noreste,Coahuila,Nadadores,En Transición,36,49,9,0
5022,5,Noreste,Coahuila,Nava,Semi-urbano,"3,657","1,032",111,16
5023,5,Noreste,Coahuila,Ocampo,En Transición,31,6,0,0
5024,5,Noreste,Coahuila,Parras,Semi-urbano,62,763,64,3
5025,5,Noreste,Coahuila,Piedras Negras,Urbano,"1,379",726,246,122
5026,5,Noreste,Coahuila,Progreso,Rural,1,4,3,0
5027,5,Noreste,Coahuila,Ramos Arizpe,Urbano,"3,687","1,739",497,0
5028,5,Noreste,Coahuila,Sabinas,Urbano,156,"1,844",341,162
5029,5,Noreste,Coahuila,Sacramento,Rural,15,31,7,0
5030,5,Noreste,Coahuila,Saltillo,Semi-metrópoli,"59,189","31,214","7,788","16,419"
5031,5,Noreste,Coahuila,San Buenaventura,Semi-urbano,248,442,54,0
