Clave Municipio,"Clave 
Estado",Región,Estado,Municipio,Tipo de población,Branch_BC,Branch_DB,Sucursales Socap,Sucursales Sofipo,Branch_Total,Corresponsales,ATM,PST,Building_PST,MB_contracts
1001,1,Occidente y Bajío,Aguascalientes,Aguascalientes,Semi-metrópoli,117,2,16,8,143,458,611,17570,11424,393411
1002,1,Occidente y Bajío,Aguascalientes,Asientos,Urbano,0,0,0,0,0,8,4,68,54,8717
1003,1,Occidente y Bajío,Aguascalientes,Calvillo,Urbano,5,0,2,0,7,19,17,152,136,11549
1004,1,Occidente y Bajío,Aguascalientes,Cosío,Semi-urbano,0,0,0,0,0,5,4,27,21,2044
1005,1,Occidente y Bajío,Aguascalientes,Jesús María,Urbano,3,0,1,0,4,48,23,828,654,23794
1006,1,Occidente y Bajío,Aguascalientes,Pabellón de Arteaga,Semi-urbano,4,0,1,0,5,14,16,136,122,9507
1007,1,Occidente y Bajío,Aguascalientes,Rincón de Romos,Urbano,5,0,1,1,7,13,19,208,177,11902
1008,1,Occidente y Bajío,Aguascalientes,San José de Gracia,En Transición,0,0,0,0,0,1,3,21,13,2213
1009,1,Occidente y Bajío,Aguascalientes,Tepezalá,Semi-urbano,0,0,0,0,0,9,2,36,30,2507
1010,1,Occidente y Bajío,Aguascalientes,"Llano, El",Semi-urbano,0,0,1,0,1,3,6,37,25,1934
1011,1,Occidente y Bajío,Aguascalientes,San Francisco de los Romo,Urbano,1,0,1,0,2,22,38,342,262,9208
2001,2,Noroeste,Baja California,Ensenada,Semi-metrópoli,50,3,1,4,58,264,262,6778,3442,232843
2002,2,Noroeste,Baja California,Mexicali,Metrópoli,114,3,0,4,121,652,810,22497,11716,453250
2003,2,Noroeste,Baja California,Tecate,Urbano,8,0,0,1,9,71,66,820,535,49650
2004,2,Noroeste,Baja California,Tijuana,Metrópoli,174,4,0,7,185,1021,1015,22675,11763,729458
2005,2,Noroeste,Baja California,Playas de Rosarito,Urbano,13,0,0,1,14,77,90,1223,805,44701
3001,3,Noroeste,Baja California Sur,Comondú,Urbano,6,1,0,1,8,17,22,681,459,14407
3002,3,Noroeste,Baja California Sur,Mulegé,Urbano,9,2,0,2,13,38,38,538,379,15279
3003,3,Noroeste,Baja California Sur,"Paz, La",Urbano,42,2,0,3,47,215,244,10105,5865,153316
3008,3,Noroeste,Baja California Sur,"Cabos, Los",Semi-metrópoli,58,1,1,5,65,208,398,12755,5747,160176
3009,3,Noroeste,Baja California Sur,Loreto,Semi-urbano,2,0,0,1,3,6,13,335,241,7705
4001,4,Sur,Campeche,Calkiní,Urbano,4,0,1,3,8,16,11,79,68,13777
4002,4,Sur,Campeche,Campeche,Urbano,36,2,2,6,46,134,215,3890,2589,140947
4003,4,Sur,Campeche,Carmen,Urbano,34,2,0,3,39,102,143,2738,1500,136101
4004,4,Sur,Campeche,Champotón,Urbano,8,0,2,1,11,30,17,391,293,21124
4005,4,Sur,Campeche,Hecelchakán,Semi-urbano,1,0,2,0,3,8,8,291,77,5683
4006,4,Sur,Campeche,Hopelchén,Semi-urbano,1,0,1,1,3,6,5,46,37,5010
4007,4,Sur,Campeche,Palizada,En Transición,0,0,0,0,0,5,4,23,19,3786
4008,4,Sur,Campeche,Tenabo,En Transición,0,1,0,0,1,3,3,16,17,2142
4009,4,Sur,Campeche,Escárcega,Urbano,7,1,1,2,11,22,16,253,192,16736
