Clave Municipio,"Clave 
Estado",Región,Estado,Municipio,Accounts_1,Accounts_2,Accounts_3,Accounts_4,Saving_account,Debit_card,Credit_card,mortgage,Crupal_credit,Personal_credit,payroll_credit,Automotive_credit,ABCD_credit,transactions_pst,transactions_ATM
1001,1,Occidente y Bajío,Aguascalientes,Aguascalientes,0,"273,512","6,273","780,665",1,"1,153,278","271,846","21,739","5,365","84,143","48,014","10,474","28,113","2,254,262","1,874,377"
1002,1,Occidente y Bajío,Aguascalientes,Asientos,0,"1,454",0,0,0,"1,247","1,122",161,639,"3,028","1,280",102,"1,675","11,265","15,499"
1003,1,Occidente y Bajío,Aguascalientes,Calvillo,0,"3,536",22,"18,846",0,"30,233","9,057",103,98,"5,184",919,121,"1,349","10,655","62,460"
1004,1,Occidente y Bajío,Aguascalientes,Cosío,0,382,0,0,0,515,436,140,471,"1,746",613,61,951,"4,252","18,031"
1005,1,Occidente y Bajío,Aguascalientes,Jesús María,0,"6,430",0,"12,601",0,"21,713","16,352","4,377",671,"8,678","4,476","1,364","5,499","109,775","73,304"
1006,1,Occidente y Bajío,Aguascalientes,Pabellón de Arteaga,0,"2,552",107,"16,271",0,"26,184","6,613",197,213,"2,903","1,695",262,"1,828","16,981","69,219"
1007,1,Occidente y Bajío,Aguascalientes,Rincón de Romos,1,"2,220",71,"23,614",0,"43,139","8,648",214,964,"7,670","2,040",274,"5,135","24,437","63,067"
1008,1,Occidente y Bajío,Aguascalientes,San José de Gracia,0,177,0,0,0,252,404,20,107,565,242,38,336,"1,853","7,289"
1009,1,Occidente y Bajío,Aguascalientes,Tepezalá,0,535,0,"3,011",0,708,500,63,217,"1,710",583,70,948,"2,901","14,055"
1010,1,Occidente y Bajío,Aguascalientes,"Llano, El",0,439,0,0,0,757,346,49,146,736,503,34,492,"4,131","10,811"
1011,1,Occidente y Bajío,Aguascalientes,San Francisco de los Romo,0,"2,318",0,"2,891",0,"6,408","2,285",512,402,"4,420","1,835",249,"2,021","48,270","94,892"
2001,2,Noroeste,Baja California,Ensenada,2,"81,093",280,"367,133",3,"493,573","132,644","6,545","10,041","38,491","20,412","3,779","6,223","1,117,922","751,438"
2002,2,Noroeste,Baja California,Mexicali,2,"150,502","1,280","815,121",0,"1,201,428","286,146","20,500","18,380","58,304","54,320","10,729","19,085","4,524,817","1,978,752"
2003,2,Noroeste,Baja California,Tecate,0,"17,781",137,"66,430",0,"125,966","22,176",847,"2,753","3,851","5,014",701,"1,118","194,322","222,488"
2004,2,Noroeste,Baja California,Tijuana,4,"322,482","4,435","1,458,943",27,"2,402,853","413,675","33,472","30,941","96,509","66,587","16,397","32,206","5,075,313","3,037,341"
2005,2,Noroeste,Baja California,Playas de Rosarito,1,"30,445",85,"114,567",1,"116,967","26,864","1,349","2,702","5,499","3,344",740,"1,685","230,374","220,506"
3001,3,Noroeste,Baja California Sur,Comondú,0,"2,312",0,"49,517",0,"73,411","14,093",357,"1,219","7,243","3,571",181,629,"161,420","94,911"
3002,3,Noroeste,Baja California Sur,Mulegé,0,"4,053",0,"42,020",0,"55,616","11,642",152,"1,246","4,668","4,187",215,49,"237,452","96,130"
3003,3,Noroeste,Baja California Sur,"Paz, La",12,"43,162",855,"251,464",2,"374,825","92,164","6,856","9,044","28,106","18,483","3,197","4,104","1,478,735","549,517"
3008,3,Noroeste,Baja California Sur,"Cabos, Los",0,"40,722","1,752","289,837",1,"426,824","100,031","9,203","11,062","19,097","13,975","3,781","3,975","1,273,282","598,829"
3009,3,Noroeste,Baja California Sur,Loreto,0,697,1,"8,684",0,"13,557","2,804",56,273,"1,692","1,284",77,135,"87,182","34,581"
4001,4,Sur,Campeche,Calkiní,0,"2,390",0,"18,638",0,"20,452","5,662",334,"1,174","7,618","2,691",208,"2,037","18,181","52,464"
4002,4,Sur,Campeche,Campeche,1,"67,736",472,"242,389",0,"415,889","75,098","4,229","10,531","33,589","17,833","3,081","12,559","636,350","577,244"
4003,4,Sur,Campeche,Carmen,1,"34,718",249,"221,038",2,"330,715","49,570","5,778","7,105","24,092","11,245","2,709","7,525","511,300","498,338"
4004,4,Sur,Campeche,Champotón,0,"6,246",2,"32,155",0,"40,876","7,438",373,"2,702","11,714","2,653",290,"3,295","47,435","70,795"
4005,4,Sur,Campeche,Hecelchakán,1,"1,167",0,"2,382",0,"4,016",814,101,511,"3,931","1,358",87,468,"11,036","25,361"
4006,4,Sur,Campeche,Hopelchén,0,707,1,"4,787",0,"10,183","1,917",158,721,"1,060",990,52,515,"4,009","26,364"
4007,4,Sur,Campeche,Palizada,0,534,0,"3,248",0,"5,441","1,033",31,499,629,392,22,181,"6,745","5,779"
4008,4,Sur,Campeche,Tenabo,0,"7,128",0,"1,302",0,"23,023",206,80,373,894,423,29,158,"4,298","6,944"
4009,4,Sur,Campeche,Escárcega,0,"2,471",1,"37,880",0,"59,808","8,054",149,"1,214","12,009","1,280",159,"3,907","36,463","65,116"
4010,4,Sur,Campeche,Calakmul,0,270,0,"3,679",0,"4,063",285,3,267,"2,126",243,39,338,"5,274","13,398"
4011,4,Sur,Campeche,Candelaria,0,495,0,"4,168",0,"3,869",497,83,215,"1,792",389,69,885,"8,470","8,857"
5001,5,Noreste,Coahuila,Abasolo,0,60,0,0,0,96,66,6,0,100,63,2,3,10,0
5002,5,Noreste,Coahuila,Acuña,2,"23,744",442,"102,839",0,"132,910","18,861","1,925","4,386","14,248","8,247",712,"5,808","310,064","360,953"
5003,5,Noreste,Coahuila,Allende,0,"2,408",43,"15,793",0,"21,446","3,707",68,65,"3,791","1,677",218,"2,336","72,146","37,690"
5004,5,Noreste,Coahuila,Arteaga,0,"1,104",0,135,0,"5,872","1,042",882,563,763,956,146,283,"24,319","22,701"
5005,5,Noreste,Coahuila,Candela,0,94,0,0,0,54,80,3,28,30,100,4,2,383,778
5006,5,Noreste,Coahuila,Castaños,0,"2,159",0,"1,903",0,"24,857","1,365",383,626,"4,796","2,441",143,724,"54,415","40,678"
5007,5,Noreste,Coahuila,Cuatro Ciénegas,0,858,0,"3,264",0,"3,561","1,072",56,317,307,645,55,23,"17,713","17,507"
5008,5,Noreste,Coahuila,Escobedo,0,182,0,0,0,194,70,28,100,87,77,3,14,838,"5,596"
5009,5,Noreste,Coahuila,Francisco I. Madero,1,"4,712",0,"18,452",0,"22,519","6,514",341,"2,688","7,174","2,487",194,"3,675","67,921","87,568"
5010,5,Noreste,Coahuila,Frontera,0,"7,851",0,"33,254",0,"47,310","13,671","1,287","1,765","9,793","6,208",610,"2,652","146,767","122,974"
5011,5,Noreste,Coahuila,General Cepeda,0,432,0,0,0,544,193,48,450,140,431,18,52,"6,927","3,921"
5012,5,Noreste,Coahuila,Guerrero,0,93,0,0,0,126,60,6,0,61,98,5,34,534,399
5013,5,Noreste,Coahuila,Hidalgo,0,63,0,0,0,149,26,7,0,18,52,5,0,334,0
5014,5,Noreste,Coahuila,Jiménez,0,298,0,0,0,250,186,70,137,188,340,12,41,"4,772","1,674"
5015,5,Noreste,Coahuila,Juárez,0,78,0,258,0,453,68,125,0,98,33,4,37,12,0
5016,5,Noreste,Coahuila,Lamadrid,0,252,0,0,0,196,100,11,86,63,150,8,5,0,598
5017,5,Noreste,Coahuila,Matamoros,1,"10,345",0,"23,741",0,"53,488","8,724",417,"5,540","12,003","4,890",310,"4,899","77,359","94,036"
5018,5,Noreste,Coahuila,Monclova,2,"36,325",391,"180,467",0,"632,044","55,242","3,850","3,236","23,761","21,193","2,949","7,082","694,362","458,443"
5019,5,Noreste,Coahuila,Morelos,0,546,0,"2,025",0,"2,504",541,13,357,"1,060",423,48,559,"6,346","8,394"
5020,5,Noreste,Coahuila,Múzquiz,0,"5,351",61,"26,417",0,"38,445","6,660",281,"1,894","10,032","3,335",393,"3,140","138,602","123,884"
5021,5,Noreste,Coahuila,Nadadores,0,388,0,0,0,635,292,63,181,878,593,36,43,"3,092","1,709"
5022,5,Noreste,Coahuila,Nava,0,"1,860",0,"1,483",0,"8,883","1,691",121,688,"4,663","1,916",196,"1,429","54,689","47,475"
5023,5,Noreste,Coahuila,Ocampo,0,201,0,0,0,"19,365",207,38,283,40,381,21,5,"1,320","11,444"
5024,5,Noreste,Coahuila,Parras,0,"4,132",0,"19,021",0,"22,370","4,685",94,"1,181","6,514","2,680",156,"3,553","45,529","61,100"
5025,5,Noreste,Coahuila,Piedras Negras,4,"28,946",662,"146,425",1,"330,161","27,796","2,350","3,895","19,218","9,571","1,409","6,662","493,829","372,818"
5026,5,Noreste,Coahuila,Progreso,0,182,0,0,0,295,79,12,61,97,112,9,25,"2,007",0
5027,5,Noreste,Coahuila,Ramos Arizpe,1,"12,444",339,"90,779",0,"89,782","16,840","2,917","1,555","6,879","6,118","1,110","3,555","240,452","400,108"
5028,5,Noreste,Coahuila,Sabinas,0,"6,786",86,"48,985",0,"59,700","12,641",534,"1,210","9,801","3,885",557,"3,949","135,021","149,144"
5029,5,Noreste,Coahuila,Sacramento,0,224,0,0,0,270,100,24,87,257,185,10,8,176,309
5030,5,Noreste,Coahuila,Saltillo,1,"127,195","2,910","631,901",0,"1,021,011","220,826","17,871","18,115","56,123","55,776","10,492","20,339","3,152,630","2,076,953"
5031,5,Noreste,Coahuila,San Buenaventura,0,"2,452",0,"11,922",0,"15,761","3,450",289,499,"3,636","2,158",197,164,"54,517","52,345"
5032,5,Noreste,Coahuila,San Juan de Sabinas,2,"7,787",28,"27,113",0,"64,013","9,480",236,537,"6,835","3,093",311,"2,272","66,030","76,856"
5033,5,Noreste,Coahuila,San Pedro,1,"9,658",0,"32,656",0,"73,385","10,683",489,"3,661","14,017","4,152",250,"6,768","81,687","120,956"
5034,5,Noreste,Coahuila,Sierra Mojada,0,722,0,"2,476",0,"6,321",837,43,28,81,"1,096",15,6,"10,426","26,191"
5035,5,Noreste,Coahuila,Torreón,0,"154,644","4,263","627,624",1,"1,072,729","183,895","15,209","19,615","42,487","33,048","7,509","14,668","2,509,943","1,493,803"
5036,5,Noreste,Coahuila,Viesca,0,928,0,0,0,424,154,113,782,"1,006",599,13,405,721,"12,908"
5037,5,Noreste,Coahuila,Villa Unión,0,296,0,0,0,925,175,17,20,783,296,11,382,"6,236",0
5038,5,Noreste,Coahuila,Zaragoza,0,626,0,"2,468",0,"3,731",556,108,339,"1,166",500,49,596,"10,368","10,350"
6001,6,Occidente y Bajío,Colima,Armería,0,"2,247",0,"2,807",0,"4,355","1,103",287,367,"3,588",768,76,829,"6,663","5,942"
6002,6,Occidente y Bajío,Colima,Colima,5,"33,345",427,"196,677",1,"682,364","76,260","3,093",889,"10,118","8,484","1,692","1,939","505,879","441,263"
6003,6,Occidente y Bajío,Colima,Comala,0,"2,924",0,969,0,"11,128","1,212",103,222,782,443,68,137,"6,681","5,256"
6004,6,Occidente y Bajío,Colima,Coquimatlán,0,"1,487",0,0,0,"1,225",868,51,49,866,603,83,203,935,116
6005,6,Occidente y Bajío,Colima,Cuauhtémoc,1,"2,603",0,"9,364",0,"21,989","5,636",171,189,"2,367","1,022",122,126,"17,326","16,711"
6006,6,Occidente y Bajío,Colima,Ixtlahuacán,0,197,0,0,0,406,188,0,6,198,171,8,62,2,"1,574"
6007,6,Occidente y Bajío,Colima,Manzanillo,0,"29,219",490,"139,181",0,"297,191","45,579","4,827","3,597","22,898","9,913","1,701","5,742","331,958","366,364"
6008,6,Occidente y Bajío,Colima,Minatitlán,0,937,0,559,0,"13,275",376,74,29,97,476,24,14,"3,277","22,439"
6009,6,Occidente y Bajío,Colima,Tecomán,1,"21,145",57,"63,664",1,"139,224","22,911",422,"2,724","10,112","2,975",425,"4,204","78,334","153,594"
